               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081821,            0.043854,            0.018427,           0.0018553,                 0.5,           0.0048475,           0.0014397,             0.02781,            0.035838,           0.0082275,              0.0973,              0.0003,              0.0003
                   1,            0.079569,            0.041992,            0.018177,           0.0017647,                 0.5,           0.0046348,           0.0021512,             0.02678,            0.030816,           0.0077026,            0.093697,          0.00069653,          0.00069653
                   2,            0.069966,            0.038489,            0.018462,           0.0016884,                 0.5,           0.0049923,           0.0012876,             0.02764,            0.025855,           0.0083923,            0.090089,           0.0010891,           0.0010891
                   3,            0.066916,            0.035624,            0.018273,           0.0025355,                0.75,           0.0074352,           0.0028686,            0.027434,            0.021123,           0.0083801,            0.086478,           0.0014777,           0.0014777
                   4,            0.058428,            0.031522,            0.017817,           0.0033855,                   1,            0.065684,            0.013124,            0.025349,            0.019195,           0.0076843,            0.082862,           0.0018624,           0.0018624
                   5,            0.057482,            0.033026,            0.016988,            0.002969,               0.875,            0.099708,            0.041274,            0.022984,            0.017149,           0.0071472,            0.079243,           0.0022431,           0.0022431
                   6,             0.04965,            0.029032,            0.016519,           0.0033353,                   1,             0.22861,             0.10878,            0.023716,            0.016434,           0.0071594,             0.07562,           0.0026198,           0.0026198
                   7,            0.054312,            0.031027,            0.017129,            0.003336,                   1,            0.068011,            0.016027,            0.025682,            0.015369,           0.0071289,            0.071993,           0.0029926,           0.0029926
                   8,            0.048472,            0.028738,            0.015226,             0.00336,                   1,             0.10618,            0.021413,            0.022155,            0.014682,           0.0066162,            0.068361,           0.0033614,           0.0033614
                   9,            0.040221,            0.026542,            0.017065,            0.024619,               0.875,             0.42382,             0.14403,            0.021223,            0.013536,           0.0058228,            0.064726,           0.0037263,           0.0037263
                  10,            0.049657,            0.026854,            0.015012,             0.73838,               0.375,             0.37481,             0.13956,            0.017232,            0.011792,           0.0049713,            0.061087,           0.0040871,           0.0040871
                  11,            0.050488,            0.024917,            0.014618,             0.84062,             0.41721,             0.62536,             0.24575,            0.015075,           0.0097432,           0.0048798,            0.057444,           0.0044441,           0.0044441
                  12,            0.042865,             0.02261,            0.014011,             0.75672,               0.375,             0.58733,             0.19746,            0.019414,           0.0082673,           0.0045959,            0.053797,           0.0047971,           0.0047971
                  13,            0.043459,            0.022137,            0.014115,              0.6829,             0.46821,             0.61148,             0.28903,            0.015456,           0.0084599,           0.0036926,            0.050146,           0.0051461,           0.0051461
                  14,            0.042972,            0.022489,            0.013472,             0.48554,                0.25,             0.43422,              0.2225,            0.014589,           0.0083525,           0.0038635,            0.046491,           0.0054911,           0.0054911
