               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079227,            0.044984,            0.056698,           0.0013928,               0.375,           0.0036893,             0.00105,            0.027917,            0.036637,            0.024408,              0.0973,              0.0003,              0.0003
                   1,            0.079915,            0.044023,            0.056227,            0.001855,                 0.5,            0.006454,           0.0022695,            0.026561,            0.030352,            0.022614,            0.093693,          0.00069307,          0.00069307
                   2,            0.078104,            0.039988,             0.05725,           0.0022413,               0.625,           0.0040361,           0.0017475,            0.028765,            0.025978,            0.023657,            0.090078,           0.0010782,           0.0010782
                   3,             0.07021,            0.037068,            0.051671,           0.0024349,                0.75,            0.011079,           0.0029581,            0.024593,            0.021852,              0.0245,            0.086455,           0.0014555,           0.0014555
                   4,            0.064231,            0.035205,            0.052092,           0.0030089,               0.875,            0.015211,           0.0048184,            0.025569,            0.019706,            0.024207,            0.082825,           0.0018248,           0.0018248
                   5,            0.058548,            0.033263,            0.049611,            0.002461,                0.75,            0.023099,           0.0060783,            0.025928,            0.018508,            0.023419,            0.079186,           0.0021861,           0.0021861
                   6,            0.058896,            0.032087,            0.050525,           0.0030109,               0.875,            0.037648,           0.0092928,             0.02343,            0.017616,            0.019812,             0.07554,           0.0025396,           0.0025396
                   7,            0.052114,            0.030535,            0.048739,           0.0034397,                   1,            0.071777,            0.027947,            0.021713,            0.016628,            0.016525,            0.071885,           0.0028852,           0.0028852
                   8,            0.052774,            0.030978,             0.04609,            0.003367,                   1,            0.076384,            0.026218,            0.019372,            0.015585,            0.014557,            0.068223,           0.0032228,           0.0032228
                   9,            0.051621,            0.029067,            0.047389,           0.0034325,                   1,              0.4327,             0.21651,            0.021216,             0.01419,            0.012863,            0.064553,           0.0035525,           0.0035525
                  10,            0.049846,            0.027706,            0.038382,              0.0271,               0.875,             0.27278,             0.13411,            0.019606,             0.01314,            0.011115,            0.060874,           0.0038743,           0.0038743
                  11,            0.045664,            0.027889,            0.035187,             0.14649,                 0.5,             0.45658,             0.26071,             0.01816,            0.012527,            0.010483,            0.057188,           0.0041882,           0.0041882
                  12,            0.047405,            0.025959,            0.031454,            0.066263,                   1,             0.44089,             0.16898,            0.018548,            0.010711,           0.0085556,            0.053494,           0.0044941,           0.0044941
                  13,            0.050668,            0.025273,            0.042887,             0.19699,                0.75,             0.51576,             0.24788,            0.016573,           0.0096767,           0.0066788,            0.049792,           0.0047922,           0.0047922
                  14,            0.042744,            0.026487,            0.031519,            0.023333,               0.875,             0.51199,             0.20705,            0.016387,           0.0086617,           0.0058914,            0.046082,           0.0050823,           0.0050823
                  15,            0.048827,            0.025728,            0.041912,            0.081965,               0.875,             0.47357,             0.16312,            0.017362,            0.008374,           0.0053238,            0.042364,           0.0053644,           0.0053644
