               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083954,            0.036397,            0.020371,          0.00080515,                0.25,          0.00070291,          0.00024815,            0.042108,            0.024216,            0.011316,              0.0973,              0.0003,              0.0003
                   1,            0.079834,            0.033692,            0.019698,          0.00085251,                0.25,          0.00073547,          0.00032113,            0.040855,            0.020805,            0.011511,            0.093688,          0.00068845,          0.00068845
                   2,            0.074049,             0.02957,            0.018099,          0.00083446,                0.25,          0.00074722,          0.00014944,            0.037165,            0.019653,            0.011279,            0.090064,           0.0010637,           0.0010637
                   3,             0.06965,             0.02823,             0.01857,           0.0025101,                0.75,           0.0031824,          0.00098401,            0.034715,            0.015192,            0.010498,            0.086426,           0.0014257,           0.0014257
                   4,             0.06443,             0.02463,             0.01804,           0.0020725,               0.625,            0.010612,           0.0024614,            0.030921,            0.014069,            0.009613,            0.082775,           0.0017746,           0.0017746
                   5,            0.069838,            0.026254,            0.026306,           0.0033349,                   1,            0.045652,            0.013793,            0.027092,            0.012179,           0.0095032,             0.07911,           0.0021103,           0.0021103
                   6,            0.059572,            0.022616,            0.016786,           0.0033342,                   1,             0.02696,           0.0068817,            0.027184,            0.012956,            0.008429,            0.075433,           0.0024327,           0.0024327
                   7,            0.054539,            0.024904,            0.016326,           0.0033461,                   1,            0.062897,            0.018817,            0.024884,            0.010842,           0.0083984,            0.071742,            0.002742,            0.002742
                   8,            0.052793,            0.023671,            0.016479,            0.069409,                0.25,             0.10254,            0.023661,            0.023391,            0.010026,           0.0081177,            0.068038,            0.003038,            0.003038
                   9,            0.051115,            0.021614,            0.014176,            0.034344,                0.75,            0.071118,            0.024503,            0.021384,           0.0095882,           0.0069763,            0.064321,           0.0033208,           0.0033208
                  10,            0.067137,            0.023063,            0.020729,            0.071697,               0.125,            0.080023,            0.039426,            0.021875,           0.0091851,           0.0061859,             0.06059,           0.0035905,           0.0035905
                  11,            0.049587,            0.021933,            0.013939,             0.71788,                0.25,             0.33356,             0.09877,            0.019613,           0.0091805,           0.0060181,            0.056847,            0.003847,            0.003847
                  12,            0.047219,            0.020738,            0.014134,             0.62482,                0.25,             0.31176,             0.19951,            0.017382,           0.0087659,           0.0052765,             0.05309,           0.0040902,           0.0040902
                  13,             0.05183,            0.020124,            0.014359,             0.13132,               0.375,             0.40246,             0.21905,            0.017642,           0.0085452,           0.0049164,             0.04932,           0.0043202,           0.0043202
                  14,            0.047394,            0.020687,            0.012478,             0.83008,             0.74735,                0.97,             0.49683,            0.017471,           0.0076084,           0.0042358,            0.045537,           0.0045371,           0.0045371
                  15,            0.056868,             0.02127,            0.017217,             0.66509,             0.90956,             0.87833,             0.45926,            0.017299,           0.0075612,           0.0042725,            0.041741,           0.0047408,           0.0047408
                  16,            0.046522,             0.02043,            0.012222,             0.58902,               0.875,               0.665,             0.44863,             0.01539,           0.0074232,           0.0035797,            0.037931,           0.0049312,           0.0049312
                  17,            0.042741,            0.019566,            0.010395,             0.61699,               0.625,             0.79566,             0.43171,            0.017225,           0.0067649,           0.0030167,            0.034108,           0.0051084,           0.0051084
