               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  18,            0.046626,             0.01955,            0.012102,              0.5718,             0.81089,             0.83181,             0.50982,            0.020895,           0.0064622,           0.0029037,            0.030272,           0.0052725,           0.0052725
                  19,            0.043429,            0.019228,            0.010196,             0.46061,             0.77355,             0.79045,             0.48982,            0.016197,           0.0068365,           0.0027512,            0.026423,           0.0054234,           0.0054234
                  20,            0.039854,            0.021331,           0.0092624,             0.94713,               0.375,             0.67661,             0.37509,            0.021269,           0.0059515,           0.0018768,            0.022561,            0.005561,            0.005561
                  21,            0.042082,            0.019743,            0.010021,             0.57044,             0.85497,             0.80393,             0.44312,            0.018549,           0.0057932,           0.0013794,            0.018685,           0.0056854,           0.0056854
                  22,            0.036879,            0.020871,           0.0088881,             0.72714,             0.68778,             0.83875,             0.37608,            0.019275,            0.005863,           0.0011894,            0.014797,           0.0057967,           0.0057967
                  23,            0.041875,            0.016644,           0.0081859,             0.44284,                   1,             0.84778,             0.43318,            0.021607,           0.0064858,           0.0016632,            0.010895,           0.0058948,           0.0058948
                  24,             0.03825,             0.01805,           0.0072248,             0.50042,                0.75,             0.87132,             0.39385,             0.01343,           0.0078558,           0.0023911,           0.0069796,           0.0059796,           0.0059796
                  25,             0.04385,            0.016992,           0.0076263,              0.3885,                0.75,             0.69525,             0.35206,             0.01977,           0.0070784,           0.0025711,            0.005875,            0.005875,            0.005875
                  26,             0.03688,             0.01801,           0.0060112,             0.47654,             0.83605,             0.75846,             0.30913,              0.0197,           0.0076389,           0.0022827,            0.005875,            0.005875,            0.005875
                  27,            0.035894,             0.01901,           0.0064066,             0.43659,                   1,             0.67357,             0.26764,            0.019585,           0.0083711,           0.0018112,             0.00571,             0.00571,             0.00571
                  28,             0.03715,            0.018367,            0.006023,             0.34066,             0.78946,             0.70965,             0.36326,            0.015847,           0.0095277,           0.0018356,            0.005545,            0.005545,            0.005545
                  29,            0.044096,            0.018294,            0.017448,             0.68017,             0.69457,             0.85056,             0.41453,            0.014013,           0.0090101,           0.0023499,             0.00538,             0.00538,             0.00538
                  30,            0.041549,            0.018021,           0.0089566,             0.51145,                0.75,             0.73435,             0.38406,            0.020637,           0.0080251,            0.003595,            0.005215,            0.005215,            0.005215
                  31,            0.040984,            0.018551,           0.0094601,             0.60546,                0.75,             0.69599,             0.39175,            0.014621,           0.0082455,           0.0041748,             0.00505,             0.00505,             0.00505
                  32,            0.031788,            0.016711,           0.0063961,             0.56679,               0.625,             0.75469,             0.41771,            0.022264,           0.0074905,           0.0038269,            0.004885,            0.004885,            0.004885
                  33,            0.033638,            0.016724,           0.0053054,              0.7006,               0.625,             0.72025,             0.38575,            0.015508,           0.0070276,           0.0048279,             0.00472,             0.00472,             0.00472
                  34,            0.034064,            0.017528,           0.0075177,             0.59505,             0.71205,             0.74768,             0.38268,            0.021333,            0.005994,           0.0049561,            0.004555,            0.004555,            0.004555
                  35,             0.03618,            0.015387,           0.0090089,             0.62573,               0.875,             0.70433,             0.39024,            0.015571,           0.0062634,           0.0050903,             0.00439,             0.00439,             0.00439
                  36,            0.027596,            0.017362,           0.0041016,             0.65118,             0.69266,             0.75839,             0.42737,            0.016061,           0.0057938,           0.0035828,            0.004225,            0.004225,            0.004225
                  37,            0.036236,            0.014984,            0.011652,             0.67801,             0.85416,             0.87208,             0.46241,            0.014843,           0.0053431,           0.0020157,             0.00406,             0.00406,             0.00406
                  38,            0.033463,            0.016439,            0.013368,             0.96133,               0.875,                0.97,             0.54912,            0.012489,           0.0049675,           0.0018875,            0.003895,            0.003895,            0.003895
                  39,            0.025379,            0.017196,           0.0052561,             0.63563,              0.9884,             0.83521,             0.48484,            0.015722,            0.004444,           0.0019501,             0.00373,             0.00373,             0.00373
                  40,            0.029975,            0.015749,           0.0060917,             0.87839,                   1,               0.995,             0.53948,            0.011617,           0.0043598,           0.0016846,            0.003565,            0.003565,            0.003565
                  41,            0.027165,            0.017221,           0.0054229,             0.82164,                   1,               0.995,             0.54768,            0.012949,           0.0042245,           0.0015144,              0.0034,              0.0034,              0.0034
                  42,            0.029141,            0.014722,           0.0036096,             0.82905,               0.875,             0.90571,             0.48168,            0.014223,            0.003846,           0.0014503,            0.003235,            0.003235,            0.003235
                  43,            0.027018,             0.01491,           0.0046367,             0.81836,             0.91416,                0.97,             0.66544,             0.01085,           0.0039632,           0.0018082,             0.00307,             0.00307,             0.00307
                  44,            0.025605,            0.016969,            0.003864,             0.77206,             0.85208,             0.83382,             0.48768,            0.015313,           0.0035898,           0.0022064,            0.002905,            0.002905,            0.002905
                  45,            0.028523,            0.015464,           0.0034853,              0.8489,             0.98856,               0.945,             0.63818,            0.010493,           0.0042806,           0.0035828,             0.00274,             0.00274,             0.00274
                  46,            0.025244,            0.015548,           0.0042284,             0.88488,               0.625,             0.82198,              0.4673,            0.013259,           0.0042466,           0.0041321,            0.002575,            0.002575,            0.002575
                  47,            0.026971,             0.01713,           0.0052021,               0.967,               0.625,             0.86851,             0.50063,            0.016253,           0.0040872,           0.0038177,             0.00241,             0.00241,             0.00241
                  48,            0.025271,            0.015525,           0.0043012,               0.663,             0.93405,             0.88667,             0.53727,            0.013579,           0.0042565,           0.0033264,            0.002245,            0.002245,            0.002245
                  49,            0.025296,            0.015681,           0.0047888,             0.78138,             0.90692,                0.92,             0.46846,            0.018453,           0.0041254,           0.0029251,             0.00208,             0.00208,             0.00208
                  50,             0.02462,             0.01654,           0.0042081,             0.71126,             0.80107,               0.795,             0.48523,            0.015471,           0.0044044,           0.0024124,            0.001915,            0.001915,            0.001915
                  51,            0.036193,            0.014663,            0.010172,             0.72671,             0.80468,               0.845,             0.46329,            0.018351,           0.0042246,           0.0018326,             0.00175,             0.00175,             0.00175
                  52,            0.023599,            0.017077,            0.003537,             0.74095,             0.81168,             0.87625,             0.49546,            0.016619,           0.0041748,           0.0016083,            0.001585,            0.001585,            0.001585
                  53,            0.025123,            0.016367,           0.0045805,             0.74511,             0.80676,              0.7907,             0.45338,            0.017776,             0.00411,           0.0013351,             0.00142,             0.00142,             0.00142
                  54,            0.022407,             0.01482,           0.0047625,             0.74285,             0.81759,              0.7947,             0.47859,            0.015977,             0.00411,           0.0011185,            0.001255,            0.001255,            0.001255
                  55,            0.022261,            0.013888,           0.0063493,             0.76538,             0.96894,               0.895,             0.46512,            0.016552,           0.0040227,          0.00099411,             0.00109,             0.00109,             0.00109
                  56,            0.022506,            0.017245,           0.0030368,             0.79208,             0.96334,               0.895,              0.4916,            0.014134,           0.0039426,           0.0009285,            0.000925,            0.000925,            0.000925
                  57,            0.028307,            0.014962,           0.0068309,                   1,             0.97072,               0.995,             0.59192,            0.012908,           0.0038841,          0.00085602,             0.00076,             0.00076,             0.00076
                  58,            0.022394,            0.016951,           0.0039549,                   1,             0.96353,               0.995,             0.61418,            0.011692,           0.0037565,          0.00077477,            0.000595,            0.000595,            0.000595
                  59,            0.020748,            0.015914,           0.0044772,             0.99701,              0.9657,               0.995,             0.66358,           0.0096965,           0.0036396,          0.00064545,             0.00043,             0.00043,             0.00043
